Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,1,8,2025,4,28.17,28.117142857142863,28.13988032326899
Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,1,8,2025,4,27.4,27.400000000000002,27.38638488921263
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,1,8,2025,4,34.17,34.17000000000001,34.278903667312406
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,1,8,2025,4,30.9,30.900000000000002,30.901313610694373
Baja California,Mexicali,Pasteurizada,Autoservicios,1,8,2025,4,26.34,26.34,26.338062356792975
Baja California,Mexicali,Pasteurizada,Tiendas,1,8,2025,4,29.3,29.300000000000004,29.451694046807077
Baja California,Mexicali,Ultrapasteurizada,Autoservicios,1,8,2025,4,27.47,27.47,27.479151270166913
Baja California,Mexicali,Ultrapasteurizada,Tiendas,1,8,2025,4,24.83,24.830000000000002,24.833451432987722
Baja California,Tijuana,Ultrapasteurizada,Autoservicios,1,8,2025,4,32.27,32.80428571428572,32.70389698441829
Baja California,Tijuana,Ultrapasteurizada,Tiendas,1,8,2025,4,31.82,31.819999999999997,31.850442151475885
Baja California Sur,La Paz,Pasteurizada,Autoservicios,1,8,2025,4,27.63,27.63,27.629853319399423
Baja California Sur,La Paz,Pasteurizada,Tiendas,1,8,2025,4,26.0,26.0,26.000354213403458
Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,1,8,2025,4,28.87,29.392857142857142,29.04701079572623
Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,1,8,2025,4,31.0,31.0,31.00078422812666
CDMX,Ciudad de México,Pasteurizada,Autoservicios,1,8,2025,4,32.83,32.82999999999999,32.81747501270552
CDMX,Ciudad de México,Pasteurizada,Tiendas,1,8,2025,4,27.34,27.34,27.352967896822044
CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,1,8,2025,4,34.75,34.75,34.764461574166155
CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,1,8,2025,4,28.02,28.020000000000003,28.029894382403153
CDMX,ZM Ciudad de México,Pasteurizada,Autoservicios,1,8,2025,4,23.7,23.699999999999996,23.685283062703537
CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,1,8,2025,4,24.07,24.207142857142856,24.187153254040485
CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,1,8,2025,4,23.7,23.699999999999996,23.685283062703537
CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,1,8,2025,4,25.65,25.650000000000002,25.64225363231316
Campeche,Campeche,Ultrapasteurizada,Autoservicios,1,8,2025,4,34.97,34.934285714285714,34.94319545497556
Campeche,Campeche,Ultrapasteurizada,Tiendas,1,8,2025,4,31.75,31.75,31.739744075172222
Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,1,8,2025,4,34.88,35.07714285714285,35.06116087505944
Chiapas,Tapachula,Ultrapasteurizada,Tiendas,1,8,2025,4,30.4,30.400000000000002,30.464473663832518
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,1,8,2025,4,27.5,27.5,27.496624312359675
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,1,8,2025,4,28.5,28.5,28.488494366274356
Chihuahua,Cd.Juárez,Pasteurizada,Autoservicios,1,8,2025,4,28.91,28.91,28.94229506704201
Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,1,8,2025,4,29.6,29.599999999999998,29.616633315371498
Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,1,8,2025,4,34.37,34.37,34.37730401111271
