Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Colima,Colima,Pasteurizada,Tiendas,5,8,2025,1,25.5,25.5,25.51717382954012
Colima,Colima,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.75,35.75,35.77740572914676
Colima,Colima,Ultrapasteurizada,Tiendas,5,8,2025,1,26.5,26.5,26.51680175274742
Durango,Durango,Pasteurizada,Autoservicios,5,8,2025,1,28.05,28.050000000000004,28.049131303201797
Durango,Durango,Pasteurizada,Tiendas,5,8,2025,1,29.25,29.25,29.254251500267028
Durango,Durango,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.77,35.77,35.78668589429103
Durango,Gómez Palacio,Pasteurizada,Autoservicios,5,8,2025,1,30.53,30.507142857142856,30.52508980083905
Durango,Gómez Palacio,Pasteurizada,Tiendas,5,8,2025,1,31.45,31.449999999999996,31.477970201265894
Durango,Gómez Palacio,Ultrapasteurizada,Autoservicios,5,8,2025,1,37.27,37.16285714285714,37.20081582769599
Durango,Gómez Palacio,Ultrapasteurizada,Tiendas,5,8,2025,1,38.95,38.949999999999996,38.9499999999999
Edo. México,Toluca,Pasteurizada,Autoservicios,5,8,2025,1,31.3,31.32857142857143,31.383596684194963
Edo. México,Toluca,Pasteurizada,Tiendas,5,8,2025,1,26.96,26.960000000000004,26.98328639245523
Edo. México,Toluca,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.83,33.82999999999999,33.84011787373787
Edo. México,Toluca,Ultrapasteurizada,Tiendas,5,8,2025,1,29.6,29.599999999999998,29.627597455690836
Guanajuato,Celaya,Pasteurizada,Autoservicios,5,8,2025,1,25.33,25.330000000000002,25.300738518434233
Guanajuato,Celaya,Pasteurizada,Tiendas,5,8,2025,1,28.63,28.63,28.642178321084902
Guanajuato,Celaya,Ultrapasteurizada,Autoservicios,5,8,2025,1,29.83,29.85428571428571,29.8604073693249
Guanajuato,Celaya,Ultrapasteurizada,Tiendas,5,8,2025,1,28.75,28.75,28.763054735986447
Guanajuato,León,Pasteurizada,Autoservicios,5,8,2025,1,23.75,23.75,23.73244429470866
Guanajuato,León,Pasteurizada,Tiendas,5,8,2025,1,23.69,23.69,23.695194030017937
Guanajuato,León,Ultrapasteurizada,Autoservicios,5,8,2025,1,23.75,23.75,23.73244429470866
Guanajuato,León,Ultrapasteurizada,Tiendas,5,8,2025,1,23.56,23.56,23.572943171391625
Guerrero,Acapulco,Pasteurizada,Autoservicios,5,8,2025,1,28.57,28.592857142857138,28.602374371269804
Guerrero,Acapulco,Pasteurizada,Tiendas,5,8,2025,1,29.17,29.17000000000001,29.18349411471159
Guerrero,Acapulco,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.98,34.90857142857142,34.93587706723067
Guerrero,Acapulco,Ultrapasteurizada,Tiendas,5,8,2025,1,32.46,32.46,32.46214562793734
Guerrero,Chilpancingo,Pasteurizada,Autoservicios,5,8,2025,1,29.47,29.445714285714285,29.455608650683136
Guerrero,Chilpancingo,Pasteurizada,Tiendas,5,8,2025,1,29.0,29.047142857142855,29.028494635625503
Guerrero,Chilpancingo,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.13,33.20142857142857,33.16433214113117
Guerrero,Chilpancingo,Ultrapasteurizada,Tiendas,5,8,2025,1,30.17,30.17000000000001,30.16272503744916
Hidalgo,Pachuca,Pasteurizada,Autoservicios,5,8,2025,1,29.45,29.449999999999996,29.455744462703393
Hidalgo,Pachuca,Pasteurizada,Tiendas,5,8,2025,1,28.0,28.0,28.006883794505143
Hidalgo,Pachuca,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.27,35.27,35.27132697950253
Hidalgo,Pachuca,Ultrapasteurizada,Tiendas,5,8,2025,1,28.0,28.095714285714287,28.06550019755193
Jalisco,Guadalajara,Pasteurizada,Autoservicios,5,8,2025,1,27.0,27.0,26.997621887114583
Jalisco,Guadalajara,Pasteurizada,Tiendas,5,8,2025,1,27.5,27.642857142857142,27.72137229146898
Jalisco,Guadalajara,Ultrapasteurizada,Autoservicios,5,8,2025,1,30.0,30.0,29.98596533934842
Jalisco,Guadalajara,Ultrapasteurizada,Tiendas,5,8,2025,1,33.0,32.97571428571428,33.018299844699705
Jalisco,ZM Guadalajara,Pasteurizada,Autoservicios,5,8,2025,1,28.9,28.900000000000002,28.89412813829816
Jalisco,ZM Guadalajara,Pasteurizada,Tiendas,5,8,2025,1,27.5,27.5,27.494737830656955
