Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,2,8,2025,5,28.17,28.117142857142863,28.148639062129497
Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,2,8,2025,5,27.4,27.400000000000002,27.382725664481317
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.17,34.17000000000001,34.28034459321178
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,2,8,2025,5,30.9,30.900000000000002,30.91268987361484
Baja California,Mexicali,Pasteurizada,Autoservicios,2,8,2025,5,26.34,26.34,26.335626475204815
Baja California,Mexicali,Pasteurizada,Tiendas,2,8,2025,5,29.3,29.300000000000004,29.31917571448096
Baja California,Mexicali,Ultrapasteurizada,Autoservicios,2,8,2025,5,27.47,27.47,27.48924999968115
Baja California,Mexicali,Ultrapasteurizada,Tiendas,2,8,2025,5,24.83,24.830000000000002,24.85929967175136
Baja California,Tijuana,Ultrapasteurizada,Autoservicios,2,8,2025,5,32.27,32.80428571428572,32.74595631960154
Baja California,Tijuana,Ultrapasteurizada,Tiendas,2,8,2025,5,31.82,31.819999999999997,31.849865727867265
Baja California Sur,La Paz,Pasteurizada,Autoservicios,2,8,2025,5,27.63,27.63,27.636460413109813
Baja California Sur,La Paz,Pasteurizada,Tiendas,2,8,2025,5,26.0,26.0,26.009791347149537
Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,2,8,2025,5,28.87,29.392857142857142,29.113128801169104
Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,2,8,2025,5,31.0,31.0,30.9912160494475
CDMX,Ciudad de México,Pasteurizada,Autoservicios,2,8,2025,5,32.83,32.82999999999999,32.80064515770057
CDMX,Ciudad de México,Pasteurizada,Tiendas,2,8,2025,5,27.34,27.34,27.357882487389983
CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.75,34.75,34.76735435224621
CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,2,8,2025,5,28.02,28.020000000000003,28.02010968572595
CDMX,ZM Ciudad de México,Pasteurizada,Autoservicios,2,8,2025,5,23.7,23.699999999999996,23.707117834506015
CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,2,8,2025,5,24.07,24.207142857142856,24.194722459738422
CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,2,8,2025,5,23.7,23.699999999999996,23.707117834506015
CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,2,8,2025,5,25.65,25.650000000000002,25.61127304742561
Campeche,Campeche,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.97,34.934285714285714,34.97819319112782
Campeche,Campeche,Ultrapasteurizada,Tiendas,2,8,2025,5,31.75,31.75,31.744913046874572
Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.88,35.07714285714285,35.01892879287212
Chiapas,Tapachula,Ultrapasteurizada,Tiendas,2,8,2025,5,30.4,30.400000000000002,30.43046031405221
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,2,8,2025,5,27.5,27.5,27.495294966751626
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,2,8,2025,5,28.5,28.5,28.47725063391411
Chihuahua,Cd.Juárez,Pasteurizada,Autoservicios,2,8,2025,5,28.91,28.91,28.90572781477651
Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,2,8,2025,5,29.6,29.599999999999998,29.617270936535476
Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.37,34.37,34.37668588629247
Chihuahua,Chihuahua,Pasteurizada,Autoservicios,2,8,2025,5,29.95,29.949999999999996,29.944720038435822
Chihuahua,Chihuahua,Pasteurizada,Tiendas,2,8,2025,5,29.55,29.557142857142857,29.533607023116453
Chihuahua,Chihuahua,Ultrapasteurizada,Autoservicios,2,8,2025,5,37.27,37.27,37.19815288941044
Chihuahua,Chihuahua,Ultrapasteurizada,Tiendas,2,8,2025,5,34.5,34.5,34.505714280047506
Coahuila,Piedras Negras,Pasteurizada,Autoservicios,2,8,2025,5,23.3,23.300000000000004,23.30024041049104
Coahuila,Piedras Negras,Pasteurizada,Tiendas,2,8,2025,5,24.7,24.699999999999996,24.669815130854456
Coahuila,Piedras Negras,Ultrapasteurizada,Autoservicios,2,8,2025,5,26.35,26.349999999999998,26.335626475204815
Coahuila,Piedras Negras,Ultrapasteurizada,Tiendas,2,8,2025,5,31.45,31.449999999999996,31.469988162452957
Coahuila,Saltillo,Pasteurizada,Autoservicios,2,8,2025,5,30.67,30.67000000000001,30.669311746318304
Coahuila,Saltillo,Pasteurizada,Tiendas,2,8,2025,5,31.2,31.199999999999996,31.203265132543187
Coahuila,Saltillo,Ultrapasteurizada,Autoservicios,2,8,2025,5,36.73,36.73,36.741569282845695
Coahuila,Saltillo,Ultrapasteurizada,Tiendas,2,8,2025,5,29.88,29.88,29.86150864234104
Coahuila,Torreón,Pasteurizada,Autoservicios,2,8,2025,5,32.4,32.4,32.414896994490434
Coahuila,Torreón,Pasteurizada,Tiendas,2,8,2025,5,32.5,32.5,32.475673395079944
Coahuila,Torreón,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.83,34.82999999999999,34.78965219443818
