Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,4,8,2025,0,28.17,28.117142857142863,28.129350942202226
Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,4,8,2025,0,27.4,27.400000000000002,27.405819737256152
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.17,34.17000000000001,34.293617557509975
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,4,8,2025,0,30.9,30.900000000000002,30.90363817776758
Baja California,Mexicali,Pasteurizada,Autoservicios,4,8,2025,0,26.34,26.34,26.345039365148878
Baja California,Mexicali,Pasteurizada,Tiendas,4,8,2025,0,29.3,29.300000000000004,29.344612364928906
Baja California,Mexicali,Ultrapasteurizada,Autoservicios,4,8,2025,0,27.47,27.47,27.478141426638796
Baja California,Mexicali,Ultrapasteurizada,Tiendas,4,8,2025,0,24.83,24.830000000000002,24.82632248995904
Baja California,Tijuana,Ultrapasteurizada,Autoservicios,4,8,2025,0,32.2,32.614285714285714,32.413177362414146
Baja California,Tijuana,Ultrapasteurizada,Tiendas,4,8,2025,0,31.64,31.794285714285714,31.900637858587373
Baja California Sur,La Paz,Pasteurizada,Autoservicios,4,8,2025,0,27.63,27.63,27.608816492174853
Baja California Sur,La Paz,Pasteurizada,Tiendas,4,8,2025,0,26.0,26.0,26.00014774544289
Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,4,8,2025,0,28.87,29.202857142857145,28.979413780647064
Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,4,8,2025,0,31.0,31.0,31.005722866215287
CDMX,Ciudad de México,Pasteurizada,Autoservicios,4,8,2025,0,32.83,32.82999999999999,32.83302977011035
CDMX,Ciudad de México,Pasteurizada,Tiendas,4,8,2025,0,27.34,27.34,27.341849233186004
CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.75,34.75,34.77819854435993
CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,4,8,2025,0,28.02,28.020000000000003,28.03531496185003
CDMX,ZM Ciudad de México,Pasteurizada,Autoservicios,4,8,2025,0,23.7,23.699999999999996,23.689564118370164
CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,4,8,2025,0,24.07,24.207142857142856,24.217678217154376
CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,4,8,2025,0,23.7,23.699999999999996,23.689564118370164
CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,4,8,2025,0,25.65,25.650000000000002,25.645474404625684
Campeche,Campeche,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.97,34.97,34.896928684293705
Campeche,Campeche,Ultrapasteurizada,Tiendas,4,8,2025,0,31.75,31.75,31.740429546720158
Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.88,35.1,34.974829372228186
Chiapas,Tapachula,Ultrapasteurizada,Tiendas,4,8,2025,0,30.4,30.400000000000002,30.44349302708386
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,4,8,2025,0,27.5,27.5,27.49869053981018
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,4,8,2025,0,28.5,28.5,28.493330829572074
Chihuahua,Cd.Juárez,Pasteurizada,Autoservicios,4,8,2025,0,28.83,28.898571428571433,28.9071388939832
Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,4,8,2025,0,29.6,29.599999999999998,29.61828777565703
Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.37,34.37,34.375483080871156
Chihuahua,Chihuahua,Pasteurizada,Autoservicios,4,8,2025,0,29.95,29.949999999999996,29.943669843028726
Chihuahua,Chihuahua,Pasteurizada,Tiendas,4,8,2025,0,29.55,29.55714285714286,29.557494026666124
Chihuahua,Chihuahua,Ultrapasteurizada,Autoservicios,4,8,2025,0,37.27,37.27,37.26064094246031
Chihuahua,Chihuahua,Ultrapasteurizada,Tiendas,4,8,2025,0,34.5,34.5,34.556695176140444
Coahuila,Piedras Negras,Pasteurizada,Autoservicios,4,8,2025,0,23.3,23.300000000000004,23.305286685030577
Coahuila,Piedras Negras,Pasteurizada,Tiendas,4,8,2025,0,24.7,24.699999999999996,24.698844905898746
Coahuila,Piedras Negras,Ultrapasteurizada,Autoservicios,4,8,2025,0,26.35,26.349999999999998,26.34919208001158
Coahuila,Piedras Negras,Ultrapasteurizada,Tiendas,4,8,2025,0,31.45,31.449999999999996,31.463213147851732
Coahuila,Saltillo,Pasteurizada,Autoservicios,4,8,2025,0,30.67,30.67000000000001,30.686809825715407
Coahuila,Saltillo,Pasteurizada,Tiendas,4,8,2025,0,31.2,31.199999999999996,31.20068761821399
Coahuila,Saltillo,Ultrapasteurizada,Autoservicios,4,8,2025,0,36.73,36.73,36.811517236842114
Coahuila,Saltillo,Ultrapasteurizada,Tiendas,4,8,2025,0,29.88,29.88,29.88411256295607
Coahuila,Torreón,Pasteurizada,Autoservicios,4,8,2025,0,32.4,32.4,32.38114125534588
Coahuila,Torreón,Pasteurizada,Tiendas,4,8,2025,0,32.5,32.5,32.48723757303975
Coahuila,Torreón,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.83,34.82999999999999,34.817787092789644
Coahuila,Torreón,Ultrapasteurizada,Tiendas,4,8,2025,0,38.0,38.0,38.0
Colima,Colima,Pasteurizada,Autoservicios,4,8,2025,0,28.38,28.38,28.392295147606152
Colima,Colima,Pasteurizada,Tiendas,4,8,2025,0,25.5,25.5,25.51339065704362
Colima,Colima,Ultrapasteurizada,Autoservicios,4,8,2025,0,35.75,35.75,35.76678872466146
Colima,Colima,Ultrapasteurizada,Tiendas,4,8,2025,0,26.5,26.5,26.507012449202954
Durango,Durango,Pasteurizada,Autoservicios,4,8,2025,0,28.05,28.050000000000004,28.03127016701412
Durango,Durango,Pasteurizada,Tiendas,4,8,2025,0,29.25,29.25,29.248691994073003
Durango,Durango,Ultrapasteurizada,Autoservicios,4,8,2025,0,35.77,35.77,35.77337002514189
Durango,Gómez Palacio,Pasteurizada,Autoservicios,4,8,2025,0,30.67,30.485714285714284,30.579036432982107
Durango,Gómez Palacio,Pasteurizada,Tiendas,4,8,2025,0,31.45,31.449999999999996,31.46872241067225
Durango,Gómez Palacio,Ultrapasteurizada,Autoservicios,4,8,2025,0,37.27,37.15,37.24006449224385
Durango,Gómez Palacio,Ultrapasteurizada,Tiendas,4,8,2025,0,38.95,38.949999999999996,38.94999999999993
Edo. México,Toluca,Pasteurizada,Autoservicios,4,8,2025,0,31.3,31.328571428571433,31.394303307867386
Edo. México,Toluca,Pasteurizada,Tiendas,4,8,2025,0,26.96,26.960000000000004,26.964202508647055
Edo. México,Toluca,Ultrapasteurizada,Autoservicios,4,8,2025,0,33.83,33.82999999999999,33.84698499587176
Edo. México,Toluca,Ultrapasteurizada,Tiendas,4,8,2025,0,29.6,29.599999999999998,29.62150871960983
Guanajuato,Celaya,Pasteurizada,Autoservicios,4,8,2025,0,25.33,25.330000000000002,25.32353137284866
Guanajuato,Celaya,Pasteurizada,Tiendas,4,8,2025,0,28.63,28.63,28.63851546820016
Guanajuato,Celaya,Ultrapasteurizada,Autoservicios,4,8,2025,0,29.83,29.85428571428571,29.875463833075216
Guanajuato,Celaya,Ultrapasteurizada,Tiendas,4,8,2025,0,28.75,28.75,28.7526328631144
Guanajuato,León,Pasteurizada,Autoservicios,4,8,2025,0,23.75,23.75,23.75157816499211
Guanajuato,León,Pasteurizada,Tiendas,4,8,2025,0,23.69,23.69,23.688874470123714
Guanajuato,León,Ultrapasteurizada,Autoservicios,4,8,2025,0,23.75,23.75,23.75157816499211
Guanajuato,León,Ultrapasteurizada,Tiendas,4,8,2025,0,23.56,23.56,23.562718587303774
Guerrero,Acapulco,Pasteurizada,Autoservicios,4,8,2025,0,28.73,28.592857142857138,28.614278222028883
Guerrero,Acapulco,Pasteurizada,Tiendas,4,8,2025,0,29.17,29.17000000000001,29.176126841028132
Guerrero,Acapulco,Ultrapasteurizada,Autoservicios,4,8,2025,0,34.48,34.90857142857142,34.62761300969362
Guerrero,Acapulco,Ultrapasteurizada,Tiendas,4,8,2025,0,32.46,32.46,32.45854900050051
Guerrero,Chilpancingo,Pasteurizada,Autoservicios,4,8,2025,0,29.47,29.445714285714285,29.43415809331045
Guerrero,Chilpancingo,Pasteurizada,Tiendas,4,8,2025,0,29.0,29.047142857142855,29.055226857152356
Guerrero,Chilpancingo,Ultrapasteurizada,Autoservicios,4,8,2025,0,33.13,33.20142857142857,33.194125168946385
Guerrero,Chilpancingo,Ultrapasteurizada,Tiendas,4,8,2025,0,30.17,30.17000000000001,30.17093189327406
Hidalgo,Pachuca,Pasteurizada,Autoservicios,4,8,2025,0,29.45,29.449999999999996,29.43564727050923
Hidalgo,Pachuca,Pasteurizada,Tiendas,4,8,2025,0,28.0,28.0,28.004315242422596
Hidalgo,Pachuca,Ultrapasteurizada,Autoservicios,4,8,2025,0,35.27,35.27,35.27809779375843
Hidalgo,Pachuca,Ultrapasteurizada,Tiendas,4,8,2025,0,28.0,28.19142857142857,28.199248938407646
Jalisco,Guadalajara,Pasteurizada,Autoservicios,4,8,2025,0,27.0,27.0,26.999496765070067
Jalisco,Guadalajara,Pasteurizada,Tiendas,4,8,2025,0,27.5,27.642857142857142,27.772816785418783
Jalisco,Guadalajara,Ultrapasteurizada,Autoservicios,4,8,2025,0,30.0,30.0,29.99268573789751
Jalisco,Guadalajara,Ultrapasteurizada,Tiendas,4,8,2025,0,32.83,32.97571428571428,33.04862372535624
